risk_ref,category,risk_description,cause,consequence,inherent_likelihood,inherent_impact,inherent_score,mitigation,residual_likelihood,residual_impact,residual_score,owner,review_date,status
UNI-RSK-013,Financial,Revenue synergy of GBP 1.2M does not materialise,Assumes displacement of competitor analysers in 190 Narwhal laboratories over 5-7 years; no evidenced displacement rate,Transaction returns below model; Board approved on a case that did not hold,High,Medium,12,Management not asking Board to underwrite revenue synergy; Board explicitly required an honest reassessment at Gate 2; transaction justified on capability case alone,Medium,Medium,9,Michael Ashworth,2026-09-15,OPEN
UNI-RSK-014,Operational,Narwhal payroll server out of support January 2027,Access Dimensions on Windows Server 2016; extended support ends 2027-01; no migration plan; deadline falls between signing and completion,Payroll for 265 people on an unsupported platform; single-site backup with no tested offsite copy,High,High,16,Require Narwhal to remediate before completion at their cost as a condition; UK payroll consolidation onto Veridia provider as Phase 2 priority,Medium,Medium,9,Gary Pemberton,2026-08-31,OPEN
UNI-RSK-015,People,Narwhal mechanical engineering team departs as a cluster,26 people average tenure 7.4 years; engineering teams leave following a leader; linked to UNI-RSK-002,Capability being acquired walks out,Low,Critical,10,Retain Hartland-Vose; harmonise this team's terms at completion rather than over 36 months (GBP 310k pa); give them the SP-1r2 tolerance problem in month one,Low,High,8,Naomi Okonjo-Bright,2026-10-31,OPEN
UNI-RSK-016,Legal,Equal pay claim NAR-ET-002 succeeds and produces contagion,Narwhal has no job evaluation scheme no equal pay audit and a 21.4% mean gender pay gap,Multiple further claims from the same grade; quantum unbounded; inherited by Veridia,Medium,High,12,Specific indemnity; require disclosure of any settlement terms before signing; job evaluation exercise as a post-completion priority,Medium,Medium,9,Sunita Raval,2026-07-31,OPEN
UNI-RSK-017,People,Employee on long-term sick leave receives transaction communication without support,Veridia case OH-2026-003 (Basel QC) and unknown equivalent cases at Narwhal; employees on long-term absence retain full consultation rights,Indefensible treatment of a seriously ill employee; reputational and legal exposure,Medium,High,12,CPO personally checks all long-term absence cases before any organisational communication is issued - already recorded as a watch item on the case file; equivalent list to be obtained from Narwhal at completion,Low,High,8,Naomi Okonjo-Bright,2026-10-31,OPEN
UNI-RSK-018,Operational,Role overlap model reaches employees,Document names functions with 'DIRECT OVERLAP' and 'High' assessments against real teams; would be read as a redundancy list,Catastrophic loss of trust in both populations; would invalidate the entire communications plan,Low,Critical,10,Restricted to deal team; not circulated by email; watermarked; explicitly listed in the communications plan as the one document that must never leave the tent,Low,Critical,10,Gary Pemberton,ongoing,OPEN - MONITORED
,,,,,,,,,,,,,,
SCORING: Likelihood (Low 1-2 / Medium 3 / High 4-5) x Impact (Low 1-2 / Medium 3 / High 4 / Critical 5). Score = L x I x weighting factor applied per category.,,,,,,,,,,,,,,
PRINCIPAL RISKS as at this version: UNI-RSK-001 (pension), UNI-RSK-004 (harmonisation economics), UNI-RSK-005 (IR35), UNI-RSK-014 (payroll platform) - all scoring 16 or above inherent.,,,,,,,,,,,
RISKS WHERE RESIDUAL EQUALS INHERENT: UNI-RSK-006 (culture), UNI-RSK-011 (disclosure), UNI-RSK-018 (role overlap model). In each case mitigation reduces neither likelihood nor impact materially - these are risks that are managed by vigilance rather than reduced by control.,,,,,,,,,,,,
BOARD ATTENTION: the CPO has asked that UNI-RSK-006 be reported to the Board at every meeting until a named owner and budget are agreed, on the basis that a risk with no owner and no mitigation is not being managed, only recorded.,,,,,,,,,,,,
CLASSIFICATION: Strictly Confidential - Project Unicorn - Inside Information. Deal team only.,,,,,,,,,,,,,,
